booking_id,guest_age,age_group,guest_type,region,booking_channel,room_type,number_of_guests,number_of_nights,lead_time_days,average_daily_rate,special_requests,previous_cancellations,deposit_type,is_weekend_stay,booking_cancelled
H0267,73,51+,Couple,South,Corporate,Standard,4,1,235,137.26,0,0,No Deposit,Yes,1
H0268,42,36-50,Business,West,Online Travel Agency,Deluxe,1,3,185,127.88,1,0,No Deposit,Yes,1
H0269,31,26-35,Couple,East,Online Travel Agency,Standard,1,3,179,230.24,2,0,Partial Deposit,No,0
H0270,59,51+,Solo,South,Phone,Standard,4,3,124,172.49,2,1,Non-refundable,Yes,0
H0271,24,18-25,Business,South,Online Travel Agency,Standard,2,4,27,225.65,5,0,No Deposit,No,0
H0272,49,36-50,Couple,West,Corporate,Deluxe,5,5,259,245.04,2,0,No Deposit,No,0
H0273,67,51+,Family,West,Online Travel Agency,Standard,1,3,87,77.24,0,1,No Deposit,Yes,1
H0274,59,51+,Business,North,Online Travel Agency,Deluxe,5,6,203,89.61,4,0,Non-refundable,Yes,0
H0275,43,36-50,Family,East,Direct,Standard,4,10,167,104.86,0,0,No Deposit,Yes,1
H0276,21,18-25,Family,North,Corporate,Standard,5,8,215,332.91,1,0,No Deposit,Yes,1
H0277,56,51+,Family,West,Direct,Standard,2,11,124,414.63,5,2,No Deposit,Yes,1
H0278,73,51+,Family,West,Direct,Deluxe,3,12,126,197.53,4,0,No Deposit,No,0
H0279,71,51+,Family,East,Online Travel Agency,Suite,4,8,176,333.74,4,2,No Deposit,No,1
H0280,22,18-25,Family,South,Online Travel Agency,Deluxe,4,9,250,412.01,3,0,No Deposit,Yes,1
H0281,45,36-50,Solo,South,Direct,Deluxe,4,4,45,297.33,5,0,Partial Deposit,No,0
H0282,52,51+,Business,South,Corporate,Standard,5,1,107,313.37,0,1,Partial Deposit,Yes,0
H0283,56,51+,Couple,East,Corporate,Standard,4,10,194,392.62,3,2,Partial Deposit,No,1
H0284,62,51+,Couple,East,Phone,Deluxe,5,7,233,297.72,5,1,No Deposit,Yes,1
H0285,71,51+,Couple,South,Online Travel Agency,Deluxe,2,4,64,287.54,5,0,No Deposit,Yes,0
H0286,60,51+,Business,West,Direct,Deluxe,4,6,181,308.75,4,0,No Deposit,Yes,1
H0287,29,26-35,Solo,North,Online Travel Agency,Deluxe,3,4,248,340.44,1,0,No Deposit,Yes,1
H0288,61,51+,Business,West,Direct,Suite,4,11,152,395.39,3,0,No Deposit,Yes,0
H0289,52,51+,Family,North,Online Travel Agency,Standard,3,12,94,290.75,3,0,Partial Deposit,No,0
H0290,66,51+,Family,East,Corporate,Deluxe,4,8,16,323.02,5,0,Non-refundable,No,0
H0291,23,18-25,Business,North,Online Travel Agency,Deluxe,4,12,249,88.89,4,0,No Deposit,No,0
H0292,46,36-50,Business,South,Phone,Suite,2,7,18,398.95,0,0,No Deposit,Yes,0
H0293,69,51+,Solo,West,Corporate,Standard,1,8,177,164.72,3,0,No Deposit,No,1
H0294,32,26-35,Business,West,Online Travel Agency,Deluxe,5,9,135,271.0,4,0,No Deposit,No,0
H0295,45,36-50,Business,East,Phone,Standard,1,5,152,273.94,3,0,No Deposit,Yes,1
H0296,34,26-35,Business,North,Direct,Standard,1,11,205,185.17,1,0,No Deposit,Yes,1
H0297,26,26-35,Business,West,Corporate,Suite,2,6,220,338.45,5,0,No Deposit,No,1
H0298,56,51+,Family,North,Corporate,Standard,3,3,205,279.83,2,0,Non-refundable,Yes,1
H0299,30,26-35,Business,South,Online Travel Agency,Standard,2,9,145,226.09,4,0,No Deposit,Yes,1
H0300,22,18-25,Family,West,Corporate,Standard,3,12,126,278.34,4,0,No Deposit,No,0
H0301,27,26-35,Family,South,Phone,Deluxe,3,6,216,343.05,1,0,Partial Deposit,No,1
H0302,59,51+,Solo,West,Corporate,Deluxe,2,7,106,384.79,5,0,No Deposit,No,0
H0303,42,36-50,Business,West,Phone,Standard,2,5,217,328.45,5,1,Non-refundable,Yes,0
H0304,56,51+,Business,East,Phone,Standard,5,4,178,294.96,0,0,No Deposit,No,0
H0305,60,51+,Family,West,Corporate,Deluxe,4,12,72,356.81,5,3,No Deposit,No,1
H0306,47,36-50,Couple,North,Online Travel Agency,Deluxe,4,9,134,223.35,0,0,No Deposit,Yes,0
H0307,73,51+,Business,East,Online Travel Agency,Standard,5,2,205,264.28,4,0,Partial Deposit,No,1
H0308,24,18-25,Solo,South,Phone,Deluxe,2,4,156,344.56,4,0,No Deposit,No,0
H0309,36,36-50,Solo,East,Phone,Standard,1,9,128,399.98,4,0,No Deposit,Yes,1
H0310,69,51+,Family,South,Phone,Deluxe,1,4,246,255.02,4,0,Partial Deposit,No,0
H0311,69,51+,Family,East,Online Travel Agency,Standard,4,4,94,376.14,1,0,No Deposit,No,1
H0312,46,36-50,Family,East,Online Travel Agency,Standard,4,3,72,108.82,2,0,No Deposit,No,0
H0313,34,26-35,Couple,South,Online Travel Agency,Deluxe,2,10,154,229.65,4,0,No Deposit,Yes,0
H0314,71,51+,Couple,West,Online Travel Agency,Deluxe,4,9,41,219.63,2,0,Partial Deposit,Yes,0
H0315,73,51+,Family,West,Corporate,Suite,1,2,86,228.43,0,0,No Deposit,No,0
H0316,62,51+,Business,South,Direct,Standard,5,1,87,370.51,1,0,Non-refundable,No,0
H0317,53,51+,Family,South,Direct,Deluxe,2,2,179,275.4,4,0,Partial Deposit,No,0
H0318,18,18-25,Solo,West,Direct,Standard,1,8,157,358.8,1,0,No Deposit,No,1
H0319,32,26-35,Family,South,Online Travel Agency,Deluxe,5,11,176,175.63,5,0,No Deposit,Yes,0
H0320,77,51+,Family,South,Direct,Standard,2,11,135,249.88,5,0,No Deposit,No,0
H0321,35,26-35,Business,East,Direct,Standard,2,1,54,380.44,5,0,No Deposit,Yes,0
H0322,72,51+,Business,South,Online Travel Agency,Suite,1,4,233,163.68,5,0,No Deposit,No,0
H0323,31,26-35,Couple,South,Online Travel Agency,Standard,1,12,202,203.11,0,0,No Deposit,No,1
H0324,25,18-25,Family,East,Online Travel Agency,Standard,5,9,150,122.22,3,0,Non-refundable,Yes,0
H0325,74,51+,Family,West,Direct,Deluxe,1,8,242,263.1,4,1,Partial Deposit,No,0
H0326,48,36-50,Couple,East,Direct,Standard,4,2,144,138.88,5,0,Non-refundable,No,0
H0327,22,18-25,Family,West,Online Travel Agency,Standard,2,6,128,274.45,4,0,No Deposit,No,1
H0328,43,36-50,Family,South,Online Travel Agency,Suite,4,5,170,90.54,4,0,No Deposit,No,0
H0329,54,51+,Business,South,Direct,Deluxe,1,12,175,335.91,5,1,No Deposit,No,1
H0330,71,51+,Family,North,Online Travel Agency,Standard,5,5,216,290.32,3,0,Partial Deposit,Yes,1
H0331,53,51+,Business,North,Direct,Standard,5,4,170,92.95,2,0,Partial Deposit,Yes,0
H0332,35,26-35,Couple,North,Direct,Standard,4,11,46,310.75,1,0,Partial Deposit,No,0
H0333,20,18-25,Family,East,Direct,Deluxe,3,10,131,354.58,5,0,Partial Deposit,No,0
H0334,37,36-50,Couple,North,Online Travel Agency,Deluxe,3,3,232,402.06,2,0,No Deposit,No,1
H0335,66,51+,Solo,South,Corporate,Standard,1,5,30,254.86,2,0,No Deposit,No,0
H0336,33,26-35,Family,North,Online Travel Agency,Standard,5,2,77,155.42,2,0,No Deposit,Yes,1
H0337,24,18-25,Business,East,Corporate,Standard,2,4,211,197.63,2,0,No Deposit,No,0
H0338,60,51+,Business,West,Online Travel Agency,Deluxe,4,6,171,160.02,1,0,Non-refundable,No,1
H0339,27,26-35,Solo,South,Corporate,Suite,1,2,101,304.29,4,0,Non-refundable,Yes,0
H0340,35,26-35,Business,South,Online Travel Agency,Suite,3,8,184,77.35,4,0,Partial Deposit,Yes,0
H0341,39,36-50,Family,North,Online Travel Agency,Standard,4,5,223,277.82,3,0,No Deposit,No,0
H0342,43,36-50,Solo,North,Corporate,Standard,3,2,211,246.1,5,0,No Deposit,Yes,0
H0343,51,51+,Couple,South,Corporate,Deluxe,2,1,255,129.32,2,0,No Deposit,No,1
H0344,72,51+,Couple,West,Online Travel Agency,Suite,4,1,241,287.52,2,0,Partial Deposit,No,0
H0345,25,18-25,Family,South,Online Travel Agency,Suite,3,6,158,240.26,1,0,No Deposit,Yes,1
H0346,64,51+,Solo,North,Online Travel Agency,Deluxe,5,2,238,102.75,1,0,No Deposit,No,1
H0347,52,51+,Family,West,Online Travel Agency,Standard,4,2,146,306.04,2,1,No Deposit,Yes,1
H0348,55,51+,Couple,South,Direct,Standard,2,11,121,290.37,3,1,Partial Deposit,No,0
H0349,67,51+,Family,South,Online Travel Agency,Standard,3,11,179,259.46,0,1,No Deposit,No,1
H0350,69,51+,Couple,West,Online Travel Agency,Deluxe,5,11,189,303.8,4,0,No Deposit,Yes,1
